
|'DPR-1-2025-03-09.xlsx'| Parsing...
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2416
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2416
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2417
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2417
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2418
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2418
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2419
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2419
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2420
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2420
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2421
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2421
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2422
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2422
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2423
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2423
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2425
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2425
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2426
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2426
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2427
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2427
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2428
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2428
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2429
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2429
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2430
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2430
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2432
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2432
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2442
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2442
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2444
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2444
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2498
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2498
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2499
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2499
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2503
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2503
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2559
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2559
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2560
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2560
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2565
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2565
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2566
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2566
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2567
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2567
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2568
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2568
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2569
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2569
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2570
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2570
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2571
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2571
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2572
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2572
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2573
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2573
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2574
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2574
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2575
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2575
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2576
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2576
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2577
4/28/2025, 14:30:52 [WARNING]: |'well_stock'| Populated! Change in well 2578
4/28/2025, 14:30:52 [WARNING]: |'completions'| Populated! Change in well 2578
