
|'DPR-1-2025-03-09.xlsx'| Parsing...
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 794
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 794
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 795
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 795
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 819
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 819
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 966
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 966
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 977
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 977
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 1738
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 1738
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 1939
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 1939
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 1943
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 1943
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 2149
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 2149
4/28/2025, 14:30:49 [WARNING]: |'well_stock'| Populated! Change in well 2150
4/28/2025, 14:30:49 [WARNING]: |'completions'| Populated! Change in well 2150
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2151
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2151
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2152
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2152
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2153
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2153
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2156
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2156
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2157
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2157
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2158
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2158
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2159
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2159
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2160
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2160
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2161
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2161
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2162
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2162
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2165
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2165
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2166
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2166
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2167
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2167
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2169
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2169
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2180
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2180
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2209
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2209
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2210
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2210
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2213
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2213
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2293
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2293
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2339
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2339
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2346
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2346
4/28/2025, 14:30:50 [WARNING]: |'well_stock'| Populated! Change in well 2347
4/28/2025, 14:30:50 [WARNING]: |'completions'| Populated! Change in well 2347
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2349
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2349
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2350
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2350
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2352
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2352
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2354
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2354
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2358
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2358
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2360
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2360
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2361
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2361
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2364
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2364
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2366
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2366
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2376
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2376
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2383
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2383
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2385
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2385
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2386
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2386
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2414
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2414
4/28/2025, 14:30:51 [WARNING]: |'well_stock'| Populated! Change in well 2415
4/28/2025, 14:30:51 [WARNING]: |'completions'| Populated! Change in well 2415
